Genenames	KeggTerms
Cluster-2917.135962	ko04141
Cluster-68956.0	ko04141
Cluster-81623.0	ko04141
Cluster-2917.127056	ko04141
Cluster-759.0	ko04141
Cluster-715.0	ko04141
Cluster-2917.55890	ko04141
Cluster-72943.0	ko04141
Cluster-2917.144376	ko04141
Cluster-68391.0	ko04141
Cluster-2917.119195	ko04141
Cluster-2917.65421	ko04141
Cluster-79800.0	ko04141
Cluster-2917.66274	ko04141
Cluster-81985.0	ko04141
Cluster-2917.118022	ko04141
Cluster-2917.124824	ko04141
Cluster-2917.35017	ko04141
Cluster-92840.0	ko04141
Cluster-2917.95444	ko04141
Cluster-2917.92853	ko04141
Cluster-2917.116149	ko04141
Cluster-2917.145921	ko04141
Cluster-2917.92228	ko04141
Cluster-2917.102131	ko04141
Cluster-2917.80822	ko04141
Cluster-2917.105775	ko04141
Cluster-2917.113842	ko04141
Cluster-2917.164784	ko04141
Cluster-2917.83541	ko04141
Cluster-2917.164628	ko04141
Cluster-64718.0	ko04141
Cluster-2917.111103	ko04141
Cluster-2917.114737	ko04141
Cluster-2917.55331	ko04141
Cluster-2917.141887	ko04141
Cluster-2917.129378	ko03018
Cluster-39381.0	ko03018
Cluster-2917.142143	ko03018
Cluster-2917.139040	ko03018
Cluster-2917.22569	ko03018
Cluster-2917.132349	ko03018
Cluster-84366.0	ko03018
Cluster-92878.0	ko03018
Cluster-2917.164923	ko03018
Cluster-2917.83939	ko03018
Cluster-44732.0	ko03018
Cluster-9412.0	ko03018
Cluster-70279.0	ko03018
Cluster-93389.0	ko03018
Cluster-2917.67083	ko03018
Cluster-62419.0	ko03018
Cluster-2917.37852	ko03018
Cluster-2917.68546	ko03018
Cluster-2917.10025	ko03018
Cluster-2917.131401	ko03018
Cluster-2917.35785	ko03018
Cluster-2917.57117	ko03018
Cluster-73928.0	ko03018
Cluster-91786.0	ko03018
Cluster-2917.122022	ko03018
Cluster-2917.56894	ko03018
Cluster-2917.41505	ko03018
Cluster-3892.0	ko03018
Cluster-2917.113698	ko03018
Cluster-2917.120749	ko04130
Cluster-2917.137987	ko04130
Cluster-2917.76166	ko04130
Cluster-50098.1	ko04130
Cluster-54071.0	ko04122
Cluster-92009.0	ko04122
Cluster-2917.142683	ko04122
Cluster-63764.0	ko04122
Cluster-47816.1	ko04122
Cluster-2917.159496	ko04122
Cluster-89660.0	ko04122
Cluster-81781.0	ko04122
Cluster-2917.159495	ko04122
Cluster-2917.3619	ko04122
Cluster-2917.25310	ko04122
Cluster-60614.0	ko04122
Cluster-88615.2	ko04122
Cluster-94026.2	ko04122
Cluster-2917.141818	ko04122
Cluster-44177.0	ko04122
Cluster-2917.148245	ko04122
Cluster-2917.128834	ko04120
Cluster-2917.172147	ko04120
Cluster-2917.66835	ko04120
Cluster-97275.0	ko04120
Cluster-2917.65952	ko04120
Cluster-759.0	ko04120
Cluster-715.0	ko04120
Cluster-17964.0	ko04120
Cluster-2917.9099	ko04120
Cluster-2917.103403	ko04120
Cluster-2917.65119	ko04120
Cluster-2917.63189	ko04120
Cluster-2917.166393	ko04120
Cluster-206.0	ko04120
Cluster-2917.79044	ko04120
Cluster-2917.122988	ko04120
Cluster-2917.86546	ko04120
Cluster-2917.49911	ko04120
Cluster-29834.0	ko04120
Cluster-2917.79966	ko04120
Cluster-70935.0	ko04120
Cluster-688.0	ko04120
Cluster-2917.112974	ko04120
Cluster-66150.0	ko03410
Cluster-2917.70707	ko03410
Cluster-2917.58079	ko03410
Cluster-2917.13400	ko03410
Cluster-2917.162517	ko03410
Cluster-2917.32168	ko03410
Cluster-2917.25419	ko03410
Cluster-2917.76076	ko03410
Cluster-2917.131209	ko03410
Cluster-2917.135487	ko03410
Cluster-2917.77995	ko03410
Cluster-2917.165557	ko03030
Cluster-2917.60606	ko03030
Cluster-2917.117417	ko03030
Cluster-2917.76076	ko03030
Cluster-2917.122100	ko03030
Cluster-2917.75950	ko03030
Cluster-2917.43952	ko03030
Cluster-2917.77995	ko03030
Cluster-2917.131209	ko03030
Cluster-88260.0	ko03460
Cluster-2917.73091	ko03460
Cluster-70426.1	ko03460
Cluster-2917.140043	ko03460
Cluster-2917.56861	ko03460
Cluster-2917.120440	ko03460
Cluster-2917.65119	ko03460
Cluster-1111.0	ko03460
Cluster-86003.0	ko03460
Cluster-2917.3918	ko03460
Cluster-18527.0	ko03460
Cluster-2917.21290	ko03460
Cluster-10161.0	ko03460
Cluster-1111.0	ko03440
Cluster-2917.3918	ko03440
Cluster-73964.0	ko03440
Cluster-18527.0	ko03440
Cluster-2917.56861	ko03440
Cluster-2917.134240	ko03440
Cluster-62903.0	ko03430
Cluster-2917.122100	ko03430
Cluster-1203.0	ko03430
Cluster-2917.60606	ko03430
Cluster-2917.3825	ko03430
Cluster-2917.75950	ko03430
Cluster-2917.131209	ko03450
Cluster-2917.63189	ko03420
Cluster-2917.122100	ko03420
Cluster-2917.76076	ko03420
Cluster-2917.103403	ko03420
Cluster-2917.77995	ko03420
Cluster-2917.75950	ko03420
Cluster-2917.172147	ko03420
Cluster-2917.120662	ko03420
Cluster-2917.60606	ko03420
Cluster-2917.127917	ko03420
Cluster-2917.66113	ko03420
Cluster-2917.50138	ko03420
Cluster-2917.112100	ko03022
Cluster-45318.1	ko03022
Cluster-2917.112098	ko03022
Cluster-2917.127917	ko03022
Cluster-2917.66113	ko03022
Cluster-2917.50138	ko03022
Cluster-2917.98786	ko03022
Cluster-2917.81918	ko03022
Cluster-2917.128394	ko03022
Cluster-2917.167167	ko03020
Cluster-2917.63404	ko03020
Cluster-2917.8690	ko03020
Cluster-2917.118623	ko03020
Cluster-2917.66644	ko03020
Cluster-2917.71864	ko03020
Cluster-96972.0	ko03040
Cluster-2917.135508	ko03040
Cluster-2917.86321	ko03040
Cluster-2917.136825	ko03040
Cluster-2917.60435	ko03040
Cluster-2917.142105	ko03040
Cluster-2917.97642	ko03040
Cluster-91576.0	ko03040
Cluster-77427.0	ko03040
Cluster-77669.0	ko03040
Cluster-2917.91574	ko03040
Cluster-2917.83612	ko03040
Cluster-81919.1	ko03040
Cluster-2917.81977	ko03040
Cluster-2917.113960	ko03040
Cluster-2917.95029	ko03040
Cluster-2917.140023	ko03040
Cluster-2917.66207	ko03040
Cluster-2917.123909	ko03040
Cluster-70023.0	ko03040
Cluster-2917.144599	ko03040
Cluster-2917.68723	ko03040
Cluster-2917.89084	ko03040
Cluster-2917.93566	ko03040
Cluster-2917.81988	ko03040
Cluster-2917.124824	ko03040
Cluster-2917.134188	ko03040
Cluster-2917.44799	ko03040
Cluster-2917.141553	ko00970
Cluster-2917.9368	ko00970
Cluster-54503.0	ko00970
Cluster-2917.11996	ko00970
Cluster-2917.171202	ko00970
Cluster-25121.0	ko00970
Cluster-2917.46842	ko00970
Cluster-2917.94250	ko00970
Cluster-96375.0	ko00970
Cluster-37983.2	ko00970
Cluster-2917.22936	ko00970
Cluster-44362.0	ko00970
Cluster-37744.0	ko00970
Cluster-29261.0	ko00970
Cluster-85114.0	ko00970
Cluster-2917.149300	ko00970
Cluster-35279.0	ko00970
Cluster-2917.29548	ko00970
Cluster-77587.0	ko00970
Cluster-3055.2	ko00970
Cluster-2917.143909	ko00970
Cluster-86629.11	ko00970
Cluster-75960.0	ko00970
Cluster-64134.0	ko00970
Cluster-53149.0	ko00970
Cluster-93.0	ko00970
Cluster-2917.125292	ko00970
Cluster-10894.2	ko00970
Cluster-2917.149073	ko00970
Cluster-2917.21889	ko00970
Cluster-38466.0	ko00970
Cluster-2917.153345	ko00970
Cluster-78979.0	ko00970
Cluster-50663.0	ko00970
Cluster-77503.0	ko00970
Cluster-2917.143634	ko00970
Cluster-41402.0	ko00970
Cluster-2917.171641	ko00970
Cluster-2917.14092	ko00970
Cluster-86629.5	ko00970
Cluster-14068.3	ko00970
Cluster-2917.46845	ko00970
Cluster-2917.6441	ko00970
Cluster-87081.0	ko00970
Cluster-2917.5114	ko00970
Cluster-2917.151239	ko00970
Cluster-81866.0	ko00970
Cluster-33438.0	ko00970
Cluster-4011.0	ko00970
Cluster-27369.0	ko00970
Cluster-2917.164710	ko00970
Cluster-2917.137076	ko03013
Cluster-79826.0	ko03013
Cluster-2917.125876	ko03013
Cluster-2917.90587	ko03013
Cluster-2917.124458	ko03013
Cluster-90540.0	ko03013
Cluster-79286.0	ko03013
Cluster-2917.136667	ko03013
Cluster-2917.161946	ko03013
Cluster-2917.91723	ko03013
Cluster-2917.86321	ko03013
Cluster-2917.106260	ko03013
Cluster-64718.0	ko03013
Cluster-2917.97642	ko03013
Cluster-2917.78101	ko03013
Cluster-2917.108644	ko03013
Cluster-3892.0	ko03013
Cluster-2917.25079	ko03013
Cluster-2917.96423	ko03013
Cluster-2917.144599	ko03013
Cluster-206.0	ko03013
Cluster-2917.125136	ko03013
Cluster-2917.113831	ko03013
Cluster-80239.0	ko03013
Cluster-2917.65950	ko03013
Cluster-2917.98498	ko03013
Cluster-2917.2231	ko03013
Cluster-92180.0	ko03013
Cluster-2917.128031	ko03013
Cluster-63025.0	ko03013
Cluster-2917.71569	ko03013
Cluster-86235.0	ko03013
Cluster-14170.0	ko03013
Cluster-2917.106263	ko03013
Cluster-2917.47768	ko03013
Cluster-2917.123909	ko03013
Cluster-2917.47987	ko03013
Cluster-2917.90283	ko03010
Cluster-2917.87903	ko03010
Cluster-16855.0	ko03010
Cluster-2917.108524	ko03010
Cluster-2917.109196	ko03010
Cluster-209.0	ko03010
Cluster-2917.94854	ko03010
Cluster-11530.0	ko03010
Cluster-2917.111192	ko03010
Cluster-2917.35844	ko03010
Cluster-93052.0	ko03010
Cluster-2917.98631	ko03010
Cluster-2917.106102	ko03010
Cluster-540.0	ko03010
Cluster-2917.3094	ko03010
Cluster-2917.144037	ko03010
Cluster-2917.117496	ko03010
Cluster-2917.1811	ko03010
Cluster-65679.2	ko03010
Cluster-85926.0	ko03010
Cluster-2917.170083	ko03010
Cluster-79627.0	ko03010
Cluster-2917.43595	ko03010
Cluster-79344.0	ko03010
Cluster-2917.99082	ko03010
Cluster-463.0	ko03010
Cluster-399.0	ko03010
Cluster-60388.0	ko03010
Cluster-2917.99362	ko03010
Cluster-2917.106197	ko03010
Cluster-86894.0	ko03010
Cluster-2917.72379	ko03010
Cluster-75894.0	ko03010
Cluster-2917.153371	ko03010
Cluster-82890.0	ko03010
Cluster-183.0	ko03010
Cluster-2917.153124	ko03010
Cluster-14515.0	ko03010
Cluster-2917.16061	ko03010
Cluster-18694.0	ko03010
Cluster-379.0	ko03010
Cluster-2917.104597	ko03010
Cluster-2917.109413	ko03010
Cluster-2917.109038	ko03010
Cluster-2917.109200	ko03010
Cluster-2917.153194	ko03010
Cluster-2917.104202	ko03008
Cluster-2917.115198	ko03008
Cluster-2917.111739	ko03008
Cluster-2917.72799	ko03008
Cluster-2917.120022	ko03008
Cluster-74834.1	ko03008
Cluster-2917.27082	ko03008
Cluster-2917.71569	ko03008
Cluster-2917.106260	ko03008
Cluster-2917.148890	ko03008
Cluster-2917.109205	ko03008
Cluster-80239.0	ko03008
Cluster-2917.66903	ko03008
Cluster-2917.136667	ko03008
Cluster-2917.110758	ko03008
Cluster-2917.44299	ko03008
Cluster-2917.20307	ko03008
Cluster-2917.82739	ko03008
Cluster-2917.123909	ko03015
Cluster-2917.88298	ko03015
Cluster-2917.65000	ko03015
Cluster-2917.62727	ko03015
Cluster-62345.0	ko03015
Cluster-3892.0	ko03015
Cluster-2917.76929	ko03015
Cluster-2917.120618	ko03015
Cluster-2917.120333	ko03015
Cluster-2917.97642	ko03015
Cluster-2917.134362	ko03015
Cluster-2917.55607	ko03015
Cluster-2917.86321	ko03015
Cluster-2917.73769	ko03015
Cluster-2917.121142	ko03015
Cluster-2917.128902	ko03015
Cluster-2917.120722	ko03015
Cluster-67427.0	ko03015
Cluster-2917.55606	ko03015
Cluster-2917.73259	ko03015
Cluster-2917.125876	ko03015
Cluster-79826.0	ko03015
Cluster-2917.111204	ko00250
Cluster-2917.160943	ko00250
Cluster-36522.0	ko00250
Cluster-2917.3067	ko00250
Cluster-16760.0	ko00250
Cluster-36363.0	ko00250
Cluster-30442.0	ko00250
Cluster-2917.75251	ko00250
Cluster-42748.0	ko00250
Cluster-63685.1	ko00250
Cluster-2917.27934	ko00250
Cluster-2917.23459	ko00250
Cluster-2917.17929	ko00250
Cluster-2917.29352	ko00250
Cluster-23556.0	ko00250
Cluster-2917.96219	ko00250
Cluster-80842.0	ko00250
Cluster-2917.42290	ko00250
Cluster-85641.0	ko00250
Cluster-12608.0	ko00250
Cluster-2917.700	ko00250
Cluster-2917.25623	ko00250
Cluster-95417.1	ko00250
Cluster-11412.0	ko00250
Cluster-2917.20886	ko00250
Cluster-2917.141273	ko00250
Cluster-2917.17105	ko00250
Cluster-49177.0	ko00250
Cluster-2917.39655	ko00250
Cluster-2917.141272	ko00250
Cluster-43144.0	ko00250
Cluster-2917.167298	ko00250
Cluster-2917.5659	ko00250
Cluster-2917.107355	ko00250
Cluster-2917.99913	ko00250
Cluster-2917.25621	ko00250
Cluster-2917.10879	ko00250
Cluster-96246.1	ko00250
Cluster-27992.0	ko00250
Cluster-2917.27886	ko00250
Cluster-2917.124165	ko00250
Cluster-2917.159717	ko00250
Cluster-2917.158412	ko00250
Cluster-44284.0	ko00250
Cluster-83380.0	ko00250
Cluster-32088.0	ko00250
Cluster-75836.0	ko00250
Cluster-9711.0	ko00250
Cluster-2917.38443	ko00250
Cluster-83048.0	ko00250
Cluster-2917.56534	ko00250
Cluster-2917.144762	ko00250
Cluster-2917.44603	ko00250
Cluster-2917.52738	ko00250
Cluster-2917.75132	ko00330
Cluster-2917.158986	ko00330
Cluster-93339.0	ko00330
Cluster-2917.166892	ko00330
Cluster-51073.0	ko00330
Cluster-38718.0	ko00330
Cluster-57845.1	ko00330
Cluster-97096.0	ko00330
Cluster-2917.58427	ko00330
Cluster-2917.69088	ko00330
Cluster-2917.148235	ko00330
Cluster-97534.0	ko00330
Cluster-33938.0	ko00330
Cluster-2917.169476	ko00330
Cluster-10964.0	ko00330
Cluster-2917.68315	ko00330
Cluster-25074.0	ko00330
Cluster-33085.0	ko00330
Cluster-2917.75251	ko00330
Cluster-52223.0	ko00330
Cluster-27539.0	ko00330
Cluster-12209.0	ko00330
Cluster-66135.0	ko00330
Cluster-2917.169269	ko00330
Cluster-2917.36103	ko00330
Cluster-89497.2	ko00330
Cluster-2917.120877	ko00330
Cluster-5911.0	ko00330
Cluster-29923.0	ko00330
Cluster-2917.14333	ko00330
Cluster-42724.0	ko00330
Cluster-2917.52738	ko00330
Cluster-93018.0	ko00330
Cluster-2917.29189	ko00330
Cluster-20912.0	ko00330
Cluster-88281.0	ko00330
Cluster-1601.0	ko00330
Cluster-2917.102661	ko00330
Cluster-71267.0	ko00330
Cluster-2917.107355	ko00330
Cluster-2917.171231	ko00330
Cluster-815.0	ko00330
Cluster-37600.0	ko00330
Cluster-2917.120877	ko00220
Cluster-2917.27886	ko00220
Cluster-2917.17929	ko00220
Cluster-2917.29352	ko00220
Cluster-48605.0	ko00220
Cluster-2917.159717	ko00220
Cluster-2917.96219	ko00220
Cluster-66135.0	ko00220
Cluster-83380.0	ko00220
Cluster-2917.700	ko00220
Cluster-2917.158412	ko00220
Cluster-44284.0	ko00220
Cluster-2917.25623	ko00220
Cluster-2917.52738	ko00220
Cluster-2917.56534	ko00220
Cluster-2917.17105	ko00220
Cluster-49177.0	ko00220
Cluster-16760.0	ko00220
Cluster-2917.25621	ko00220
Cluster-2917.107355	ko00220
Cluster-2917.27934	ko00220
Cluster-2917.580	ko00270
Cluster-74514.0	ko00270
Cluster-10148.0	ko00270
Cluster-2917.152439	ko00270
Cluster-2917.42781	ko00270
Cluster-2917.155513	ko00270
Cluster-97166.0	ko00270
Cluster-2917.96136	ko00270
Cluster-2917.153120	ko00270
Cluster-2917.103955	ko00270
Cluster-2917.45852	ko00270
Cluster-2917.69088	ko00270
Cluster-2917.22307	ko00270
Cluster-2917.115669	ko00270
Cluster-60614.0	ko00270
Cluster-2917.28181	ko00270
Cluster-53326.1	ko00270
Cluster-75399.0	ko00270
Cluster-69506.1	ko00270
Cluster-2917.28188	ko00270
Cluster-2917.146252	ko00270
Cluster-2917.107355	ko00270
Cluster-66003.0	ko00270
Cluster-70021.0	ko00270
Cluster-2917.162736	ko00270
Cluster-2917.33045	ko00270
Cluster-2917.118648	ko00270
Cluster-815.0	ko00270
Cluster-2917.644	ko00270
Cluster-39980.0	ko00270
Cluster-2917.52738	ko00270
Cluster-40693.0	ko00270
Cluster-67971.1	ko00270
Cluster-2917.77609	ko00270
Cluster-81781.0	ko00270
Cluster-12608.0	ko00260
Cluster-2917.168319	ko00260
Cluster-2917.42655	ko00260
Cluster-22983.0	ko00260
Cluster-2917.156143	ko00260
Cluster-2917.15180	ko00260
Cluster-64050.0	ko00260
Cluster-83178.0	ko00260
Cluster-38230.0	ko00260
Cluster-2917.34476	ko00260
Cluster-2917.161859	ko00260
Cluster-66476.0	ko00260
Cluster-65606.0	ko00260
Cluster-47466.0	ko00260
Cluster-2917.1166	ko00260
Cluster-2917.580	ko00260
Cluster-2917.98491	ko00260
Cluster-16546.0	ko00260
Cluster-2917.106145	ko00260
Cluster-2917.13711	ko00260
Cluster-78070.0	ko00260
Cluster-7084.0	ko00260
Cluster-39025.0	ko00260
Cluster-88779.0	ko00260
Cluster-2917.50159	ko00260
Cluster-39859.0	ko00260
Cluster-18996.0	ko00260
Cluster-39980.0	ko00260
Cluster-14282.0	ko00260
Cluster-2917.3526	ko00260
Cluster-66003.0	ko00260
Cluster-2917.98756	ko00260
Cluster-2917.99913	ko00260
Cluster-2917.172888	ko00260
Cluster-37094.0	ko00260
Cluster-42653.0	ko00260
Cluster-53326.1	ko00260
Cluster-74047.1	ko00260
Cluster-87991.0	ko00260
Cluster-2917.62202	ko00260
Cluster-2917.153120	ko00260
Cluster-52778.0	ko00260
Cluster-97166.0	ko00260
Cluster-2917.96136	ko00260
Cluster-2917.103955	ko00260
Cluster-2917.140458	ko00260
Cluster-2917.142688	ko00260
Cluster-2917.105646	ko00260
Cluster-2917.858	ko00260
Cluster-31485.0	ko00260
Cluster-2917.38632	ko00260
Cluster-34819.0	ko00260
Cluster-45700.0	ko00260
Cluster-2917.157674	ko00260
Cluster-47268.0	ko00260
Cluster-34112.0	ko00260
Cluster-2917.33697	ko00260
Cluster-40693.0	ko00260
Cluster-76208.0	ko00260
Cluster-15579.0	ko00260
Cluster-2917.8185	ko00260
Cluster-2917.31002	ko00260
Cluster-13434.0	ko00260
Cluster-16557.0	ko00260
Cluster-2917.129174	ko00260
Cluster-2917.150179	ko00260
Cluster-63561.1	ko00260
Cluster-53288.0	ko00260
Cluster-2917.71096	ko00260
Cluster-93018.0	ko00340
Cluster-57845.1	ko00340
Cluster-97096.0	ko00340
Cluster-2917.172579	ko00340
Cluster-37578.0	ko00340
Cluster-2917.7814	ko00340
Cluster-2917.24211	ko00340
Cluster-2917.169269	ko00340
Cluster-2917.36103	ko00340
Cluster-2917.75132	ko00340
Cluster-2917.33878	ko00340
Cluster-2917.166892	ko00340
Cluster-93339.0	ko00340
Cluster-5911.0	ko00340
Cluster-29923.0	ko00340
Cluster-71267.0	ko00340
Cluster-71769.0	ko00340
Cluster-2917.38536	ko00340
Cluster-2917.16172	ko00340
Cluster-19552.0	ko00340
Cluster-7320.1	ko00340
Cluster-55660.0	ko00340
Cluster-2917.153960	ko00340
Cluster-37600.0	ko00340
Cluster-2917.30652	ko00340
Cluster-2917.15370	ko00340
Cluster-33085.0	ko00340
Cluster-2917.18967	ko00310
Cluster-71267.0	ko00310
Cluster-37600.0	ko00310
Cluster-2917.131933	ko00310
Cluster-15214.0	ko00310
Cluster-23201.0	ko00310
Cluster-90141.0	ko00310
Cluster-2917.95446	ko00310
Cluster-2917.146218	ko00310
Cluster-2917.113400	ko00310
Cluster-28394.1	ko00310
Cluster-46565.0	ko00310
Cluster-71429.1	ko00310
Cluster-93018.0	ko00310
Cluster-32460.0	ko00310
Cluster-49279.0	ko00310
Cluster-2917.39036	ko00310
Cluster-2917.63723	ko00310
Cluster-11036.0	ko00310
Cluster-2917.168530	ko00310
Cluster-2917.122065	ko00310
Cluster-2917.169269	ko00310
Cluster-79202.0	ko00310
Cluster-2917.36103	ko00310
Cluster-2917.115079	ko00310
Cluster-70629.3	ko00310
Cluster-52296.0	ko00310
Cluster-5911.0	ko00310
Cluster-29923.0	ko00310
Cluster-62962.0	ko00310
Cluster-2917.155823	ko00310
Cluster-2917.1145	ko00310
Cluster-2917.168101	ko00310
Cluster-2917.100563	ko00310
Cluster-2917.27783	ko00310
Cluster-2917.59800	ko00310
Cluster-2917.45204	ko00310
Cluster-3811.1	ko00310
Cluster-39302.0	ko00310
Cluster-84315.0	ko00310
Cluster-2917.77083	ko00310
Cluster-2917.113182	ko00310
Cluster-33085.0	ko00310
Cluster-57845.1	ko00310
Cluster-23662.0	ko00310
Cluster-65401.0	ko00310
Cluster-51166.3	ko00310
Cluster-2917.147081	ko00310
Cluster-2917.51437	ko00310
Cluster-97096.0	ko00310
Cluster-9004.0	ko00310
Cluster-2917.75132	ko00310
Cluster-2917.112288	ko00310
Cluster-2917.163380	ko00310
Cluster-2917.34233	ko00310
Cluster-2917.160067	ko00310
Cluster-93339.0	ko00310
Cluster-2917.166892	ko00310
Cluster-2917.16172	ko00360
Cluster-2917.107355	ko00360
Cluster-2917.52738	ko00360
Cluster-19552.0	ko00360
Cluster-2917.38536	ko00360
Cluster-2917.57155	ko00360
Cluster-2917.57155	ko00400
Cluster-2917.52738	ko00400
Cluster-2917.107355	ko00400
Cluster-33085.0	ko00380
Cluster-39302.0	ko00380
Cluster-2917.113182	ko00380
Cluster-2917.77083	ko00380
Cluster-84315.0	ko00380
Cluster-2917.59800	ko00380
Cluster-3811.1	ko00380
Cluster-2917.1145	ko00380
Cluster-62962.0	ko00380
Cluster-68099.0	ko00380
Cluster-2917.168101	ko00380
Cluster-93339.0	ko00380
Cluster-2917.166892	ko00380
Cluster-2917.75132	ko00380
Cluster-2917.34233	ko00380
Cluster-51166.3	ko00380
Cluster-2917.51437	ko00380
Cluster-57845.1	ko00380
Cluster-28394.1	ko00380
Cluster-90141.0	ko00380
Cluster-2917.26039	ko00380
Cluster-25178.0	ko00380
Cluster-53828.0	ko00380
Cluster-37600.0	ko00380
Cluster-2917.89964	ko00380
Cluster-2917.38536	ko00380
Cluster-4013.0	ko00380
Cluster-52296.0	ko00380
Cluster-2917.5066	ko00380
Cluster-2917.63723	ko00380
Cluster-2917.168530	ko00380
Cluster-79202.0	ko00380
Cluster-2917.36103	ko00380
Cluster-36263.0	ko00380
Cluster-93018.0	ko00380
Cluster-2917.154852	ko00380
Cluster-2917.27783	ko00380
Cluster-2917.129398	ko00380
Cluster-2917.160067	ko00380
Cluster-23713.0	ko00380
Cluster-2917.55272	ko00380
Cluster-9004.0	ko00380
Cluster-2917.163380	ko00380
Cluster-2917.147081	ko00380
Cluster-97096.0	ko00380
Cluster-2917.156599	ko00380
Cluster-2917.159394	ko00380
Cluster-2917.48814	ko00380
Cluster-65401.0	ko00380
Cluster-46565.0	ko00380
Cluster-71429.1	ko00380
Cluster-23201.0	ko00380
Cluster-2917.146218	ko00380
Cluster-2917.4292	ko00380
Cluster-2917.18967	ko00380
Cluster-71267.0	ko00380
Cluster-2917.2177	ko00380
Cluster-5911.0	ko00380
Cluster-29923.0	ko00380
Cluster-55437.1	ko00380
Cluster-2917.169269	ko00380
Cluster-2917.115079	ko00380
Cluster-2917.39036	ko00380
Cluster-32460.0	ko00380
Cluster-28880.0	ko00350
Cluster-79855.1	ko00350
Cluster-47123.0	ko00350
Cluster-80582.0	ko00350
Cluster-68099.0	ko00350
Cluster-4013.0	ko00350
Cluster-2917.38536	ko00350
Cluster-2917.16172	ko00350
Cluster-19552.0	ko00350
Cluster-2917.107355	ko00350
Cluster-2917.10647	ko00350
Cluster-75731.0	ko00350
Cluster-2917.143042	ko00350
Cluster-95678.0	ko00350
Cluster-25801.0	ko00350
Cluster-2917.2177	ko00350
Cluster-72391.0	ko00350
Cluster-2917.52738	ko00350
Cluster-2917.157674	ko00290
Cluster-2917.580	ko00290
Cluster-2917.97403	ko00290
Cluster-60787.0	ko00290
Cluster-49038.1	ko00280
Cluster-2917.75132	ko00280
Cluster-2917.102535	ko00280
Cluster-57845.1	ko00280
Cluster-51166.3	ko00280
Cluster-34719.0	ko00280
Cluster-30561.0	ko00280
Cluster-2917.105646	ko00280
Cluster-2917.36810	ko00280
Cluster-2917.37701	ko00280
Cluster-84315.0	ko00280
Cluster-2917.77083	ko00280
Cluster-2917.5335	ko00280
Cluster-2917.33951	ko00280
Cluster-2917.1145	ko00280
Cluster-11516.0	ko00280
Cluster-2917.157150	ko00280
Cluster-2917.59800	ko00280
Cluster-2917.29473	ko00280
Cluster-79202.0	ko00280
Cluster-2917.36103	ko00280
Cluster-2917.20200	ko00280
Cluster-2917.27023	ko00280
Cluster-49462.0	ko00280
Cluster-61646.1	ko00280
Cluster-93018.0	ko00280
Cluster-6385.0	ko00280
Cluster-81485.0	ko00280
Cluster-76208.0	ko00280
Cluster-90141.0	ko00280
Cluster-2917.167585	ko00280
Cluster-8024.0	ko00280
Cluster-2917.24897	ko00280
Cluster-2917.148710	ko00280
Cluster-4013.0	ko00280
Cluster-2917.167571	ko00280
Cluster-2917.16796	ko00280
Cluster-37600.0	ko00280
Cluster-63561.1	ko00280
Cluster-2917.163380	ko00280
Cluster-80176.3	ko00280
Cluster-64050.0	ko00280
Cluster-2917.15180	ko00280
Cluster-2917.6646	ko00280
Cluster-2917.142364	ko00280
Cluster-2917.16798	ko00280
Cluster-2917.79921	ko00280
Cluster-2917.52230	ko00280
Cluster-27602.0	ko00280
Cluster-97581.0	ko00280
Cluster-2917.162758	ko00280
Cluster-2917.11050	ko00280
Cluster-2917.169269	ko00280
Cluster-45144.0	ko00280
Cluster-29923.0	ko00280
Cluster-37242.8	ko00280
Cluster-32460.0	ko00280
Cluster-2917.39036	ko00280
Cluster-2917.101841	ko00280
Cluster-2917.164788	ko00280
Cluster-14282.0	ko00280
Cluster-39350.0	ko00280
Cluster-50036.0	ko00280
Cluster-3180.0	ko00280
Cluster-71267.0	ko00280
Cluster-90607.1	ko00280
Cluster-2917.18967	ko00280
Cluster-47998.0	ko00280
Cluster-42653.0	ko00280
Cluster-44273.0	ko00280
Cluster-2917.34233	ko00280
Cluster-42391.0	ko00280
Cluster-2917.166892	ko00280
Cluster-93339.0	ko00280
Cluster-60858.1	ko00280
Cluster-2917.61177	ko00280
Cluster-2917.43273	ko00280
Cluster-2917.166356	ko00280
Cluster-2917.51437	ko00280
Cluster-11625.0	ko00280
Cluster-39302.0	ko00280
Cluster-2917.113182	ko00280
Cluster-5479.0	ko00280
Cluster-2917.89248	ko00280
Cluster-33085.0	ko00280
Cluster-2917.123128	ko00280
Cluster-62962.0	ko00280
Cluster-68099.0	ko00280
Cluster-2917.38632	ko00280
Cluster-2917.168101	ko00280
Cluster-2917.5334	ko00280
Cluster-2917.7969	ko00280
Cluster-2917.157674	ko00280
Cluster-22541.0	ko00280
Cluster-3811.1	ko00280
Cluster-2917.168530	ko00280
Cluster-52296.0	ko00280
Cluster-2917.36003	ko00280
Cluster-69535.2	ko00280
Cluster-2917.54157	ko00280
Cluster-92657.0	ko00280
Cluster-2917.15739	ko00280
Cluster-2917.46330	ko00280
Cluster-41612.0	ko00280
Cluster-69431.0	ko00280
Cluster-2917.147575	ko00280
Cluster-9004.0	ko00280
Cluster-2917.36218	ko00280
Cluster-2917.156143	ko00280
Cluster-2917.31383	ko00280
Cluster-22983.0	ko00280
Cluster-2917.160067	ko00280
